2019/05/21-19:47:03.953 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2019/05/21-19:47:04.241 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8899 (http) with context path '/ams' 
2019/05/21-19:47:04.244 [main] INFO  c.x.springcloud.ams.AmsApplication - Started AmsApplication in 4.125 seconds (JVM running for 4.766) 
2019/05/21-19:47:04.247 [main] INFO  c.x.springcloud.ams.AmsApplication - 	
 系统启动成功 
2019/05/21-19:47:26.790 [http-nio-8899-exec-1] INFO  o.a.c.c.C.[.[localhost].[/ams] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2019/05/21-19:47:26.790 [http-nio-8899-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
2019/05/21-19:47:26.797 [http-nio-8899-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms 
2019/05/21-19:47:34.070 [http-nio-8899-exec-1] INFO  c.x.s.ams.web.MenuManagerController - 角色查询成功 
2019/05/21-19:47:34.090 [http-nio-8899-exec-1] INFO  c.x.s.a.I.CommonCostInterceptor - request times =7276 
2019/05/21-19:47:41.046 [http-nio-8899-exec-1] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=14232 
2019/05/21-19:49:48.548 [http-nio-8899-exec-8] INFO  c.x.s.a.I.CommonCostInterceptor - request times =69 
2019/05/21-19:49:48.548 [http-nio-8899-exec-8] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=69 
2019/05/21-19:52:55.142 [http-nio-8899-exec-6] INFO  c.x.s.ams.web.MenuManagerController - 菜单添加成功 
2019/05/21-19:52:55.148 [http-nio-8899-exec-6] INFO  c.x.s.a.I.CommonCostInterceptor - request times =10100 
2019/05/21-19:52:55.149 [http-nio-8899-exec-6] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=10101 
2019/05/21-19:54:05.785 [http-nio-8899-exec-2] INFO  c.x.s.ams.web.MenuManagerController - 菜单添加成功 
2019/05/21-19:54:05.787 [http-nio-8899-exec-2] INFO  c.x.s.a.I.CommonCostInterceptor - request times =4649 
2019/05/21-19:54:05.787 [http-nio-8899-exec-2] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=4649 
2019/05/21-19:56:11.755 [http-nio-8899-exec-5] INFO  c.x.s.ams.web.MenuManagerController - 菜单添加成功 
2019/05/21-19:56:11.756 [http-nio-8899-exec-5] INFO  c.x.s.a.I.CommonCostInterceptor - request times =6 
2019/05/21-19:56:11.757 [http-nio-8899-exec-5] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=7 
2019/05/21-19:56:59.038 [http-nio-8899-exec-8] INFO  c.x.s.ams.web.MenuManagerController - 菜单修改成功 
2019/05/21-19:56:59.039 [http-nio-8899-exec-8] INFO  c.x.s.a.I.CommonCostInterceptor - request times =13 
2019/05/21-19:56:59.040 [http-nio-8899-exec-8] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=14 
2019/05/21-19:58:01.882 [http-nio-8899-exec-6] INFO  c.x.s.ams.web.MenuManagerController - 菜单删除成功 
2019/05/21-19:58:01.883 [http-nio-8899-exec-6] INFO  c.x.s.a.I.CommonCostInterceptor - request times =12 
2019/05/21-19:58:01.883 [http-nio-8899-exec-6] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=12 
2019/05/21-20:45:13.875 [main] INFO  c.x.springcloud.ams.AmsApplication - Starting AmsApplication on xxw with PID 2848 (C:\work\project\xxwgit\ams\target\classes started by 86177 in C:\work\project\xxwgit\ams) 
2019/05/21-20:45:13.879 [main] INFO  c.x.springcloud.ams.AmsApplication - No active profile set, falling back to default profiles: default 
2019/05/21-20:45:14.575 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode. 
2019/05/21-20:45:14.612 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29ms. Found 0 repository interfaces. 
2019/05/21-20:45:14.991 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b6b6c686] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019/05/21-20:45:15.769 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8899 (http) 
2019/05/21-20:45:15.795 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2019/05/21-20:45:15.795 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17] 
